May 14, 2020 9:00:29 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
May 14, 2020 9:00:29 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
May 14, 2020 9:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/nktoan/share/device-mgmt/package/apache-karaf-4.2.8/lock
May 14, 2020 9:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
May 14, 2020 9:00:29 AM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2020-05-14T09:00:30,696 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.4 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2020-05-14T09:01:00,606 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.transx/pax-transx-tm-api/0.4.4
2020-05-14T09:01:00,610 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.transx/pax-transx-tm-geronimo/0.4.4
2020-05-14T09:01:00,622 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.web/pax-web-api/7.2.14
2020-05-14T09:01:00,638 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.web/pax-web-jetty/7.2.14
2020-05-14T09:01:00,663 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.web/pax-web-runtime/7.2.14
2020-05-14T09:01:00,672 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.ops4j.pax.web/pax-web-spi/7.2.14
2020-05-14T09:01:00,691 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.osgi/org.osgi.util.function/1.0.0
2020-05-14T09:01:00,694 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.osgi/org.osgi.util.promise/1.0.0
2020-05-14T09:01:00,716 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.yaml/snakeyaml/1.25
2020-05-14T09:01:00,723 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   mvn:org.codehaus.woodstox/stax2-api/3.1.4
2020-05-14T09:01:00,733 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   wrap:mvn:antlr/antlr/2.7.7
2020-05-14T09:01:00,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   wrap:mvn:org.dom4j/dom4j/2.1.1
2020-05-14T09:01:00,908 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 | Refreshing bundles:
2020-05-14T09:01:00,909 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     org.apache.geronimo.specs.geronimo-jta_1.1_spec/1.1.1 (Bundle will be uninstalled)
2020-05-14T09:01:00,909 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     org.apache.karaf.shell.ssh/4.2.8 (Wired to org.apache.sshd.core/1.7.0 which is being refreshed)
2020-05-14T09:01:00,910 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     org.apache.servicemix.bundles.jasypt/1.9.3.1 (Should be wired to: javax.servlet-api/3.1.0 (through [org.apache.servicemix.bundles.jasypt/1.9.3.1] osgi.wiring.package; resolution:=optional; filter:="(osgi.wiring.package=javax.servlet)"))
2020-05-14T09:01:00,910 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     org.apache.sshd.core/1.7.0 (Should be wired to: org.apache.mina.core/2.0.21 (through [org.apache.sshd.core/1.7.0] osgi.wiring.package; resolution:=optional; filter:="(&(osgi.wiring.package=org.apache.mina.core)(version>=2.0.0)(!(version>=3.0.0)))"))
2020-05-14T09:01:00,910 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     org.ops4j.pax.jdbc.config/1.4.4 (Wired to org.apache.servicemix.bundles.jasypt/1.9.3.1 which is being refreshed)
2020-05-14T09:01:00,911 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |     org.ops4j.pax.jdbc.pool.common/1.4.4 (Wired to org.apache.geronimo.specs.geronimo-jta_1.1_spec/1.1.1 which is being refreshed)
2020-05-14T09:01:01,944 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 | Starting bundles:
2020-05-14T09:01:01,946 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.geronimo.specs.geronimo-osgi-registry/1.1.0
2020-05-14T09:01:01,969 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.specs.saaj-api-1.3/2.9.0
2020-05-14T09:01:02,007 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.specs.jaxrs-api-2.1/2.9.1
2020-05-14T09:01:02,044 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.objectweb.asm/7.2.0
2020-05-14T09:01:02,046 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.blueprint.api/1.0.1
2020-05-14T09:01:02,048 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   stax2-api/3.1.4
2020-05-14T09:01:02,050 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   com.fasterxml.woodstox.woodstox-core/5.0.3
2020-05-14T09:01:02,051 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.objectweb.asm.tree/7.2.0
2020-05-14T09:01:02,053 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.objectweb.asm.commons/7.2.0
2020-05-14T09:01:02,056 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.proxy/1.1.6
2020-05-14T09:01:02,073 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.blueprint.core/1.10.2
2020-05-14T09:01:02,176 | INFO  | features-3-thread-1 | BlueprintExtender                | 80 - org.apache.aries.blueprint.core - 1.10.2 | No quiesce support is available, so blueprint components will not participate in quiesce operations
2020-05-14T09:01:02,680 | INFO  | features-3-thread-1 | BlueprintContainerImpl           | 80 - org.apache.aries.blueprint.core - 1.10.2 | Blueprint bundle org.apache.aries.blueprint.core/1.10.2 has been started
2020-05-14T09:01:02,682 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.blueprint.cm/1.3.1
2020-05-14T09:01:02,720 | INFO  | features-3-thread-1 | BlueprintContainerImpl           | 80 - org.apache.aries.blueprint.core - 1.10.2 | Blueprint bundle org.apache.aries.blueprint.cm/1.3.1 has been started
2020-05-14T09:01:02,721 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   com.sun.istack.commons-runtime/3.0.7
2020-05-14T09:01:02,723 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.jaxb-runtime/2.3.1.1
2020-05-14T09:01:02,727 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.jaxb-xjc/2.3.1.1
2020-05-14T09:01:02,730 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.objectweb.asm.tree.analysis/7.2.0
2020-05-14T09:01:02,735 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.objectweb.asm.util/7.2.0
2020-05-14T09:01:02,739 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.deployer.blueprint/4.2.8
2020-05-14T09:01:02,770 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   joda-time/2.9.4
2020-05-14T09:01:02,774 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.commons.commons-codec/1.13.0
2020-05-14T09:01:02,776 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.santuario.xmlsec/2.1.4
2020-05-14T09:01:02,779 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   io.dropwizard.metrics.core/3.2.6
2020-05-14T09:01:02,782 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.jvnet.staxex.stax-ex/1.7.6
2020-05-14T09:01:02,784 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.saaj-impl/1.3.23.2
2020-05-14T09:01:02,787 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   com.google.guava/20.0.0
2020-05-14T09:01:02,790 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.opensaml/3.3.0.2
2020-05-14T09:01:02,794 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.xmlresolver/1.2.0.5
2020-05-14T09:01:02,820 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   javax.servlet-api/3.1.0
2020-05-14T09:01:02,823 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.ops4j.pax.web.pax-web-api/7.2.14
2020-05-14T09:01:02,825 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.ops4j.pax.web.pax-web-spi/7.2.14
2020-05-14T09:01:02,827 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   javax.websocket-api/1.1.0
2020-05-14T09:01:02,830 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.jasypt/1.9.3.1
2020-05-14T09:01:02,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.spifly.dynamic.bundle/1.2.3
2020-05-14T09:01:02,991 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.util/9.4.22.v20191022
2020-05-14T09:01:02,995 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.jmx/9.4.22.v20191022
2020-05-14T09:01:02,997 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.io/9.4.22.v20191022
2020-05-14T09:01:03,000 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.http/9.4.22.v20191022
2020-05-14T09:01:03,058 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.server/9.4.22.v20191022
2020-05-14T09:01:03,080 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.security/9.4.22.v20191022
2020-05-14T09:01:03,098 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.servlet/9.4.22.v20191022
2020-05-14T09:01:03,108 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.xml/9.4.22.v20191022
2020-05-14T09:01:03,111 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.jaas/9.4.22.v20191022
2020-05-14T09:01:03,134 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.common/9.4.22.v20191022
2020-05-14T09:01:03,192 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.api/9.4.22.v20191022
2020-05-14T09:01:03,197 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.client/9.4.22.v20191022
2020-05-14T09:01:03,210 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.client/9.4.22.v20191022
2020-05-14T09:01:03,220 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.javax.websocket/9.4.22.v20191022
2020-05-14T09:01:03,240 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.servlet/9.4.22.v20191022
2020-05-14T09:01:03,243 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.server/9.4.22.v20191022
2020-05-14T09:01:03,259 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.websocket.javax.websocket.server/9.4.22.v20191022
2020-05-14T09:01:03,280 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.webapp/9.4.22.v20191022
2020-05-14T09:01:03,290 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.deploy/9.4.22.v20191022
2020-05-14T09:01:03,301 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.geronimo.specs.geronimo-jaspic_1.0_spec/1.1.0
2020-05-14T09:01:03,313 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.security.jaspi/9.4.22.v20191022
2020-05-14T09:01:03,323 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.continuation/9.4.22.v20191022
2020-05-14T09:01:03,330 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.rewrite/9.4.22.v20191022
2020-05-14T09:01:03,341 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.jndi/9.4.22.v20191022
2020-05-14T09:01:03,358 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.plus/9.4.22.v20191022
2020-05-14T09:01:03,371 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.proxy/9.4.22.v20191022
2020-05-14T09:01:03,383 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.util.ajax/9.4.22.v20191022
2020-05-14T09:01:03,385 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.eclipse.jetty.servlets/9.4.22.v20191022
2020-05-14T09:01:03,393 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.ops4j.pax.web.pax-web-jetty/7.2.14
2020-05-14T09:01:03,470 | INFO  | features-3-thread-1 | log                              | 196 - org.eclipse.jetty.util - 9.4.22.v20191022 | Logging initialized @35560ms to org.eclipse.jetty.util.log.Slf4jLog
2020-05-14T09:01:03,486 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.ops4j.pax.web.pax-web-runtime/7.2.14
2020-05-14T09:01:03,514 | INFO  | features-3-thread-1 | Activator                        | 226 - org.ops4j.pax.web.pax-web-runtime - 7.2.14 | EventAdmin support enabled, servlet events will be postet to topics.
2020-05-14T09:01:03,521 | INFO  | features-3-thread-1 | Activator                        | 226 - org.ops4j.pax.web.pax-web-runtime - 7.2.14 | LogService support enabled, log events will be created.
2020-05-14T09:01:03,539 | INFO  | features-3-thread-1 | Activator                        | 226 - org.ops4j.pax.web.pax-web-runtime - 7.2.14 | Pax Web started
2020-05-14T09:01:03,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.http.core/4.2.8
2020-05-14T09:01:03,694 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Command registration delayed for bundle org.apache.karaf.http.core/4.2.8. Missing service: [org.apache.karaf.http.core.ProxyService, org.apache.karaf.http.core.ServletService]
2020-05-14T09:01:03,698 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.bundle.blueprintstate/4.2.8
2020-05-14T09:01:03,728 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.wsdl4j/1.6.3.1
2020-05-14T09:01:03,731 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.ws.xmlschema.core/2.2.5
2020-05-14T09:01:03,734 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jndi.rmi/1.0.0
2020-05-14T09:01:03,741 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jmx.blueprint.api/1.2.0
2020-05-14T09:01:03,744 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jmx.blueprint.core/1.2.0
2020-05-14T09:01:03,819 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.fastinfoset/1.2.16.1
2020-05-14T09:01:03,823 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.bcel/5.2.0.4
2020-05-14T09:01:03,825 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.xerces/2.12.0.1
2020-05-14T09:01:03,830 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.servicemix.bundles.xalan/2.7.2.3
2020-05-14T09:01:03,832 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.sshd.core/1.7.0
2020-05-14T09:01:03,834 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.neethi/3.1.1
2020-05-14T09:01:03,836 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jndi.api/1.1.0
2020-05-14T09:01:03,837 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jndi.url/1.1.0
2020-05-14T09:01:03,852 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.wss4j.wss4j-policy/2.2.4
2020-05-14T09:01:03,855 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.wss4j.wss4j-bindings/2.2.4
2020-05-14T09:01:03,857 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.wss4j.wss4j-ws-security-stax/2.2.4
2020-05-14T09:01:03,868 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.osgi.util.function/1.0.0.201505202023
2020-05-14T09:01:03,871 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.osgi.util.promise/1.0.0.201505202023
2020-05-14T09:01:03,873 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.felix.scr/2.1.16
2020-05-14T09:01:04,116 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.scr.state/4.2.8
2020-05-14T09:01:04,134 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.scr.state/4.2.8
2020-05-14T09:01:04,135 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.xbean.naming/4.15.0
2020-05-14T09:01:04,138 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jpa.container/2.7.2
2020-05-14T09:01:04,161 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.codehaus.jettison.jettison/1.4.0
2020-05-14T09:01:04,164 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.jaas.blueprint.config/4.2.8
2020-05-14T09:01:04,191 | INFO  | features-3-thread-1 | BlueprintContainerImpl           | 80 - org.apache.aries.blueprint.core - 1.10.2 | Blueprint bundle org.apache.karaf.jaas.blueprint.config/4.2.8 has been started
2020-05-14T09:01:04,194 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.wss4j.wss4j-ws-security-policy-stax/2.2.4
2020-05-14T09:01:04,197 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.shell.ssh/4.2.8
2020-05-14T09:01:04,248 | INFO  | paxweb-config-1-thread-1 | TypeUtil                         | 196 - org.eclipse.jetty.util - 9.4.22.v20191022 | JVM Runtime does not support Modules
2020-05-14T09:01:04,304 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.2.8. Missing service: [org.apache.sshd.server.SshServer]
2020-05-14T09:01:04,305 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.jndi.core/4.2.8
2020-05-14T09:01:04,384 | INFO  | paxweb-config-1-thread-1 | JettyFactoryImpl                 | 225 - org.ops4j.pax.web.pax-web-jetty - 7.2.14 | No ALPN class available
2020-05-14T09:01:04,384 | INFO  | paxweb-config-1-thread-1 | JettyFactoryImpl                 | 225 - org.ops4j.pax.web.pax-web-jetty - 7.2.14 | HTTP/2 not available, creating standard ServerConnector for Http
2020-05-14T09:01:04,387 | INFO  | features-3-thread-1 | CommandExtension                 | 34 - org.apache.karaf.shell.core - 4.2.8 | Registering commands for bundle org.apache.karaf.jndi.core/4.2.8
2020-05-14T09:01:04,390 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.karaf.scr.management/4.2.8
2020-05-14T09:01:04,421 | INFO  | features-3-thread-1 | ServiceComponentRuntimeMBeanImpl | 149 - org.apache.karaf.scr.management - 4.2.8 | Activating the Apache Karaf ServiceComponentRuntime MBean
2020-05-14T09:01:04,425 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jpa.api/2.7.2
2020-05-14T09:01:04,428 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   javax.mail/1.4.7
2020-05-14T09:01:04,431 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.wss4j.wss4j-ws-security-common/2.2.4
2020-05-14T09:01:04,433 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.wss4j.wss4j-ws-security-dom/2.2.4
2020-05-14T09:01:04,436 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jpa.support/2.7.2
2020-05-14T09:01:04,445 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jpa.blueprint/2.7.2
2020-05-14T09:01:04,453 | INFO  | paxweb-config-1-thread-1 | JettyServerImpl                  | 225 - org.ops4j.pax.web.pax-web-jetty - 7.2.14 | Pax Web available at [0.0.0.0]:[8181]
2020-05-14T09:01:04,458 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jndi.legacy.support/1.0.0
2020-05-14T09:01:04,466 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.8 |   org.apache.aries.jndi.core/1.0.2
